OaSIS profile code,Main duties
64313.02,Trace lost or misdirected passenger baggage or cargo shipment.
64314,"Maintain an inventory of vacancies, reservations and room assignments"
64314,Register arriving guests and assign rooms
64314,"Answer enquiries regarding hotel services and registration by letter, by telephone and in person, provide information about services available in the community and respond to guests' complaints"
64314,"Compile and check daily record sheets, guest accounts, receipts and vouchers using computerized or manual systems"
64314,Present statements of charges to departing guests and receive payment.
64320.01,"Transport or escort individuals or groups on tours of cities, waterways and industrial and other establishments"
64320.01,"Describe points of interest, answer questions and supply information"
64320.01,Provide historical and cultural facts related to the site
64320.01,May collect admission fees and sell souvenirs.
64320.02,Escort individuals and groups on vacation and business trips
64320.02,Ensure that reservations for transportation and accommodations are confirmed and that prepared itineraries are met
64320.02,Visit and describe points of interest and plan and carry out recreational activities
64320.02,"Resolve problems with itineraries, service and accommodations."
64321,"Operate gaming tables and games such as roulette, blackjack, keno, baccarat and poker"
64321,Monitor and assist patrons using slot machines
64321,Explain rules of games to patrons and ensure that rules are followed
64321,Accept keno wagers and issue computerized tickets for selection
64321,Determine winners or announce winning numbers
64321,"Calculate and pay out winning bets and jackpots, collect losing bets and maintain related reports"
64321,Replenish and reset slot machines
64321,May perform minor adjustments or repairs to slot machines.
64322,Plan itinerary for trip or expedition and arrange transportation or transport individuals or group to site
64322,"Assemble and inspect necessary equipment and supplies, such as camping gear, hot air balloon, rafts, life jackets, fishing tackle and food"
64322,"Lead or escort individuals or groups and advise on safety and emergency measures, techniques and the use of equipment"
64322,"Provide instruction for activities such as canoeing, rafting and mountain climbing"
64322,"Advise on specific laws and regulations for activities such as hunting, fishing and boating"
64322,Follow environmental guidelines and prevent violations
64322,Provide first aid in emergency situations
64322,May prepare meals for group and set up camp.
64400,"Process customer cash deposits and withdrawals, cheques, transfers, bills and credit card payments, money orders, certified cheques and other related banking transactions"
64400,"Obtain and process information required for the provision of services, such as opening accounts and savings plans and purchasing bonds"
64400,"Sell travellers' cheques, foreign currency and money orders"
64400,Answer enquiries and resolve problems or discrepancies concerning customers' accounts
64400,Inform customers of available banking products and services to address their needs.
64401,"Calculate and affix the correct postage on letters, parcels and registered mail and receive payment from customers"
64401,"Sell stamps, prepaid mail and courier envelopes and money orders"
64401,Route mail to the proper delivery stream
64401,Sign or obtain signatures from recipients for registered or special delivery mail and keep records
64401,"Answer inquiries and complete forms regarding change of address, theft or loss of mail"
64401,Record and balance daily transactions.
64409,"Answer, in person or on the phone, enquiries from customers"
64409,"Arrange for refunds, exchange and credit for returned merchandise"
64409,Receive account payments
64409,Receive credit and employment applications.
64409,Take customer orders for goods or services
64409,Promote goods or services
64409,Respond to enquiries and emergencies
64409,Investigate complaints and update accounts.
64409,"Provide information to customers and the public concerning goods, services, schedules, rates, regulations and policies in response to telephone and in-person enquiries."
64409,Explain the type and cost of services offered
64409,"Update accounts, initiate billing and process claim payments, and receive payment for services."
64410.01,"Control access to establishments, operate security control-room equipment and patrol assigned areas to guard against theft, vandalism and fire"
64410.01,Enforce regulations to maintain order and resolve conflicts and to monitor establishment activities
64410.01,Ensure safety and emergency procedures are followed
64410.01,Issue passes and direct visitors to appropriate areas and check age identification of patrons.
64410.02,"Drive and guard armoured trucks, pick-up and deliver cash and valuables to banks, automated teller machines and retail establishments."
64410.03,Investigate unlawful acts of employees or patrons of establishments
64410.03,Recommend security systems such as electronic detection devices and access devices.
64410.04,Conduct investigations to locate missing persons
64410.04,Obtain information for use in civil and criminal litigation matters or for other purposes
64410.04,May also conduct polygraph tests (integrity surveys) for clients.
64410.05,Prevent and detect shoplifting and theft in retail establishments.
65100,Greet customers
65100,"Establish or identify price of goods, services or admission and tabulate total payment required using electronic or other cash register, optical price scanner or other equipment"
65100,Weigh produce and bulk foods
65100,"Receive and process payments by cash, cheque, credit card or automatic debit"
65100,Wrap or place merchandise in bags
65100,Provide information to customers
65100,Assist sports spectators and theatre patrons with seat selection
65100,Calculate foreign currency exchange
65100,Calculate total payments received at end of work shift and reconcile with total sales
65100,"Verify the age of customers when selling lottery tickets, alcohol or tobacco products"
65100,May accept reservations and take-out orders
65100,May also stock shelves and clean check-out counter area.
65101,"Perform minor service and maintenance such as washing the windshield, checking fluid levels and air pressure, and replacing parts such as tires, light bulbs and windshield-wiper blades"
65101,"Perform minor property maintenance duties such as sweeping service station lot, trimming shrubs, scrubbing service bays and painting curbs"
65101,May pick up and deliver customers' cars for service station automotive repair department.
65101,Refuel boats and/or vehicles
65101,Pump boat's marine septic system
65101,"Rent boats, life jackets and other equipment and record rental data"
65101,Receive payment from customers
65101,Maintain dock area and marina facilities and assist in seasonal moving of ramps and docks.
65102,"Bag, box or parcel purchases for customers at stores or for shipment and delivery to customers"
65102,Carry customers' purchases to parking lot and pack in vehicles
65102,"Unpack products received by store and count, weigh or sort items"
65102,"Use barcode scanning equipment to record incoming stock, verify pricing and maintain computerized stock inventory"
65102,Price items using stamp or stickers according to price list
65102,Attach protective devices to products to protect against shoplifting
65102,Stock shelves and display areas and keep stock clean and in order
65102,"Label and document orders, and prepare shipping, customs and courier documentation when required"
65102,Obtain articles for customers from shelf or stockroom
65102,Direct customers to location of articles sought and assist with inquiries
65102,"Enter, track and process customer orders and generate inventory reports"
65102,"May operate carts, dollies, forklifts, hand trucks, order pickers and other powered industrial trucks (PIT)"
65102,"May sweep aisles, dust display racks and perform other general cleaning duties"
65102,May operate cash register and computer for electronic commerce transactions
65102,May order stock.
65109.01,Contact potential customers by phone or through personal contacts
65109.01,"Arrange sales demonstration appointments, and show, describe and sell goods or services at wholesale, retail and industrial establishments, at exhibitions, trade shows or directly to individual customers or at sales parties and private homes"
65109.01,Deliver purchased goods to customers.
65109.02,Solicit sales and sell merchandise to residents of private homes
65109.02,Set up and display merchandise on sidewalks or at public events to sell to the public.
65109.03,"Contact businesses or private individuals, by telephone, to solicit sales for goods or services."
65200,"Greet patrons, present menus, make recommendations and answer questions regarding food and beverages"
65200,Take orders and relay to kitchen and bar staff
65200,Recommend wines that complement patrons' meals
65200,Serve food and beverages
65200,Prepare and serve specialty foods at patrons' tables
65200,Present bill to patrons and accept payment
65200,May order and maintain inventory of wines and wine glassware
65200,May perform sensory evaluation of wines.
65201.01,Take customers' orders
65201.01,"Clean, peel, slice and trim foodstuffs using manual and electric appliances"
65201.01,"Use deep fryer, grill, oven, dispensers and other equipment to prepare fast food items such as sandwiches, hamburgers, fries, salads, ice cream dishes, milkshakes and other beverages"
65201.01,"Portion, assemble, and wrap food or place it directly on plates for service to patrons, and package take-out food"
65201.01,Use equipment to prepare hot beverages such as coffee and tea specialties
65201.01,Serve customers at counters or buffet tables
65201.01,Stock refrigerators and salad bars and keep records of the quantities of food used
65201.01,May receive payment for food items purchased.
65201.02,Wash and peel vegetables and fruit
65201.02,"Wash work tables, cupboards and appliances"
65201.02,Remove trash and clean kitchen garbage containers
65201.02,"Unpack and store supplies in refrigerators, cupboards and other storage areas"
65201.02,"Sweep and mop floors, and perform other duties to assist cook and kitchen staff."
65201.03,Clear and clean tables and trays in eating establishments
65201.03,"Bring clean dishes, flatware and other items to serving areas and set tables"
65201.03,Replenish condiments and other supplies at tables and in serving areas
65201.03,Remove dishes before and after courses
65201.03,"Perform other duties such as scraping and stacking dishes, carrying linen to and from laundry area and running errands."
65201.04,"Wash dishes, glassware, flatware, pots and pans using dishwasher or by hand"
65201.04,Place dishes in storage area
65201.04,"Scour pots and pans, and may clean and polish silverware."
65202,grind meats and slice cooked meats using powered grinders and slicing machines
65202,"cut, weigh, package, label and price meat, meat products, fish and seafood for sale"
65202,suggest complementary and/or alternative meat or fish products to consumers
65202,"inspect the quality of meat, fish and seafood, expiry dates and ensure proper product rotation"
65202,"ensure the maintenance of equipment, displays and work area"
65202,receive and store merchandise in accordance with the company's established standards
65202,comply with government health and safety standards and occupational health and safety standards.
65210.01,"Carry luggage for hotel guests, escort incoming guests to their rooms"
65210.01,Check rooms to ensure they are in order
65210.01,"Offer information regarding features of rooms, services of hotel and points of interest"
65210.01,Assist guests with special needs
65210.01,Attend to group arrivals and departures
65210.01,Receive and deliver items and messages for guests
65210.01,Handle guest complaints and requests and maintain luggage storage areas
65210.01,Convey travellers' luggage at railway stations and airports by hand or hand truck and arrange for ground transportation.
65210.02,"Set and clear tables, serve food and beverages, clean sleeping cars and cabins, make beds, wash dishes and maintain washroom supplies"
65210.02,Carry luggage for passengers aboard ships
65210.02,Ensure customer satisfaction and comfort.
65210.03,"Set-up, install, reconfigure, relocate and dismantle temporary partitions and furnishings of rooms"
65210.03,"Assemble, rotate and disassemble window displays, showcases and signage according to floor plans or instructions"
65210.03,Assist with installation of audiovisual equipment and help in resolving problems during use
65210.03,May perform minor repairs on installations and routine maintenance of audiovisual equipment.
65211.01,"Drive trucks, vans and other vehicles to transport amusement rides, games and other attractions to amusement attraction sites"
65211.01,"Set up rides, fun houses, game concessions and other amusement attractions"
65211.01,Perform routine maintenance and safety inspections of attraction equipment
65211.01,"Operate rides and other attractions, oversee game activities and ensure safety of participants"
65211.01,May sell tickets.
65211.02,"Collect tickets and fees, and rent or sell sports and accessory equipment"
65211.02,"Schedule the use of recreational facilities such as golf courses, tennis courts, bowling alleys, fitness clubs, campgrounds and other similar facilities"
65211.02,"Operate recreational facility equipment such as ski lifts, ice rink equipment and snow making machines"
65211.02,"Assist patrons on and off ski lifts and amusement park rides, secure and release safety belts and bars and monitor equipment to detect wear and damage"
65211.02,Clean and maintain recreational facilities and grounds.
65220,"Prepare food and feed animals, fish or birds at scheduled intervals"
65220,"Clean and disinfect cages, pens and surrounding areas"
65220,"Shampoo, clip and groom animals"
65220,Assist veterinarians and animal health technologists and technicians to inoculate and treat animals
65220,Assist animal breeders to handle and nurture animals
65220,Assist scientists and researchers in conducting laboratory tests with animals
65220,Monitor and document animal behaviour
65220,Train dogs to obey commands and perform specific duties in response to signals.
65229,Chart and interpret stellar and planetary positions on a horoscope to predict future events and trends for a client or the general public.
65229,Provide personal advice to clients based on various schools of thought.
65229,Offer a wide variety of personal services not elsewhere classified.
65310.01,"Sweep, mop, wash, wax and polish floors"
65310.01,"Clean, disinfect and polish kitchen and bathroom fixtures and appliances"
65310.01,"Clean and disinfect public areas such as changing rooms, showers and elevators"
65310.01,Disinfect operating rooms and other hospital areas
65310.01,"Wash windows, walls and ceilings."
65310.01,May handle complaints.
65310.02,"Dust furniture and vacuum carpeting and area rugs, draperies and upholstered furniture"
65310.02,"Make beds, change sheets and distribute clean towels and toiletries"
65310.02,Attend to guests' requests for extra supplies
65310.02,Stock linen closets and other supplies' areas
65310.02,Report and store lost and found items
65310.02,May provide basic information on facilities
65311.01,"Operate cleaning machines to clean carpets, rugs and upholstered furniture on customers' premises or in carpet and upholstery cleaning establishments."
65311.02,Clean soot and creosote from chimneys and fireplaces using hand tools and industrial vacuum cleaners
65311.02,"Clean building exteriors, tanks and industrial equipment using sandblasting, pressurized steam or hydroblasting equipment."
65311.03,"Clean ducts, vents and filters of furnaces in residences and commercial buildings using hand tools and industrial vacuum cleaners."
65311.04,"Clean the interior and exterior of automobiles, buses, streetcars, railway cars and subway cars."
65311.05,Wash and clean interior and exterior windows and other glass surfaces in low-rise and highrise buildings.
65312,"Operate industrial vacuum cleaners to remove scraps, dirt, heavy debris and other refuse"
65312,"Wash windows, interior walls and ceilings"
65312,Empty trash cans and other waste containers
65312,"Sweep, mop, scrub and wax hallways, floors and stairs"
65312,Clean snow and ice from walkways and parking areas
65312,Cut grass and tend grounds and plants
65312,Clean and disinfect washrooms and fixtures
65312,"May move heavy furniture, equipment and supplies."
65320.01,"Operate dry cleaning machines to dry-clean dresses, suits, coats, sweaters and other garments, draperies, cushion covers and other articles"
65320.01,"Sort garments and operate washing machines and dryers to clean and dry clothing, sheets, blankets, towels and other articles"
65320.01,Operate machines to clean and blow-dry fur garments
65320.01,"Operate machines to dry-clean, dye, spray, re-oil, and re-buff suede and leather garments"
65320.01,"Mix and add detergents, dyes, bleaches, starches and other solutions and chemicals."
65320.02,Check finished garments and other articles to ensure that they are properly dry-cleaned or laundered
65320.02,Record damaged or improperly dry-cleaned or laundered garments and other articles
65320.02,Use hand-held steam iron to touch up finished garments and other articles
65320.02,Assemble and bag finished garments and other articles
65320.02,Match invoices with tags on garments or other articles.
65320.03,"Operate finishing equipment such as steam pressers, and use hand irons to finish pants, jackets, shirts, skirts and other dry cleaned and laundered articles"
65320.03,Hand iron laundered fine linens or dry-cleaned silk garments
65320.03,Operate fur ironing and glazing equipment to finish fur garments and other fur articles
65320.03,Fold and bag dry cleaned and laundered articles
65320.03,May operate laundering equipment.
65329.01,"Shampoo, condition and dry customers' hair and assist hair stylists as directed"
65329.01,Keep work areas clean.
65329.02,"Assist persons entering or leaving residential buildings, theatres and similar establishments"
65329.02,May call taxis and assist with parcels.
65329.03,Drive hearses
65329.03,Arrange lights and floral displays
65329.03,Escort mourners and act as pallbearers
65329.03,Clean funeral parlours and chapels.
65329.04,Replenish vending machines
65329.04,Provide change
65329.04,Explain operation of machines to customers
65329.04,Clean the laundromat and arrange for the repair of broken machines
65329.04,"May wash, dry and fold laundry for customers"
65329.04,May operate dry cleaning machines for customers.
65329.05,Collect parking fees and issue ticket stubs
65329.05,Direct customers to parking spaces and park cars.
65329.06,Collect admission tickets or passes from patrons at entertainment events and direct patrons to their seats.
65329.07,Perform services specific to the establishments in which their occupations are found.
70010,"Plan, organize, direct, control and evaluate construction projects from start to finish according to schedule, specifications and budget"
70010,Prepare and submit construction project budget estimates
70010,Plan and prepare construction schedules and milestones and monitor progress against established schedules
70010,"Prepare contracts and negotiate revisions, changes and additions to contractual agreements with architects, consultants, clients, suppliers and subcontractors"
70010,Develop and implement quality control programs
70010,Represent company on matters such as business services and union contracts negotiation
70010,Prepare progress reports and issue progress schedules to clients
70010,Direct the purchase of building materials and land acquisitions
70010,Hire and supervise the activities of subcontractors and subordinate staff.
70011,"Plan, organize, direct, control and evaluate the activities of a residential home building or renovating company"
70011,Prepare bids for home construction or renovation projects
70011,"Consult with customers, architects and engineers regarding plans and specifications"
70011,"Select, hire and supervise trade subcontractors to do specialized work, such as plumbing, heating and electrical work"
70011,Plan and prepare work schedules and co-ordinate the activities of subcontractors
70011,Inspect work performed by subcontractors to ensure quality and conformity with plans and specifications
70011,Prepare and maintain a directory of suppliers and trade subcontractors
70011,Develop and implement marketing and advertising strategies to promote company's products and services
70011,May perform carpentry or other trade work during home construction or renovation activities.
70012.01,"Plan, organize, direct, control and evaluate the operations of commercial, transportation and recreational facilities and the included real estate"
70012.01,Oversee the leasing of space in the facility and the included real estate and the development of marketing strategies
70012.01,"Plan, organize and direct administrative services such as signage, cleaning, maintenance, parking, safety inspections, security and snow removal"
70012.01,"Plan, organize, direct, control and evaluate construction projects to modify commercial, transportation and recreational facilities and real estate"
70012.01,"Oversee the installation, maintenance and repair of real estate infrastructures including machinery, equipment and electrical and mechanical systems"
70012.01,Plan and manage the facility's operations budget
70012.01,Prepare or oversee the preparation of reports and statistics related to areas of responsibility
70012.01,Hire and oversee training and supervision of staff.
70012.02,"Direct the maintenance and repair of an establishment's machinery, equipment and electrical and mechanical systems"
70012.02,Develop and implement schedules and procedures for safety inspections and preventive maintenance programs
70012.02,"Coordinate cleaning, snow removal and landscaping operations"
70012.02,Administer contracts for the provision of supplies and services
70012.02,Plan and manage a facility's maintenance budget
70012.02,Hire and oversee training and supervision of staff.
70020.01,"Plan, organize, direct, control and evaluate the operations of a transportation company"
70020.01,"Set operations policies and standards, including determination of safety procedures for the handling of dangerous goods, and ensure compliance with transport regulations"
70020.01,"Oversee the dispatch, maintenance and service of vehicles, vessels or aircraft"
70020.01,"Control the company or departmental budget, including acquisitions"
70020.01,"Monitor company's or department's performance, prepare reports for senior management, and plan for changes to schedules and policies"
70020.01,Recruit personnel and oversee their training.
70020.02,"Plan, organize, direct, control and evaluate the operation of or department responsible for co-ordinating, arranging and monitoring the transportation and movement of goods"
70020.02,"Arrange shipping documentation and oversee the schedule, dispatch and tracking of goods"
70020.02,Set transportation service rates and performance indicators
70020.02,Develop plans and procedures for the transportation and storage of goods
70020.02,"Negotiate with carriers, warehouse operators and insurance company representatives for services and preferential rates"
70020.02,Control the departmental budget
70020.02,Recruit personnel and oversee their training.
70021,"Plan, organize, direct, control and evaluate the activities and operations of postal facilities and courier service companies, or of operational divisions within Canada Post and courier service companies"
70021,Co-ordinate the duties of supervisors and other staff
70021,Manage the accurate and expedient movement of mail and parcels through postal and parcel sorting facilities
70021,Review effectiveness of assigned operations and implement changes to postal and courier operations
70021,Prepare and submit budget estimates and administer the expenditures of postal and courier facilities
70021,"Interview, hire and provide training for staff."
72010,"Supervise, coordinate and schedule the activities of workers who shape, form and join metal parts or products to specified dimensions, machine metal into parts, products, tools and dies or moulds with precise measurements and erect light and heavy metal products and structures"
72010,Establish methods to meet work schedules and coordinate work activities with other departments
72010,Requisition materials and supplies
72010,Resolve work problems and recommend work measures to improve productivity
72010,Train or arrange for training of workers
72010,Recommend personnel actions such as hirings and promotions
72010,Ensure standards for safe working conditions are observed
72010,Prepare production and other reports
72010,Set up machines and equipment and write programs for computer numerically controlled (CNC) machine tools
72010,May manage the operations of their own companies
72010,"May also supervise, coordinate and schedule the activities of related apprentices, machine operators, helpers and labourers."
72011,"Supervise, coordinate and schedule the activities of workers who install, repair and maintain electrical wiring, fixtures and control devices, power systems, telecommunication systems and cablevision systems"
72011,Establish methods to meet work schedules and coordinate work activities with other departments or subcontractors
72011,Requisition materials and supplies
72011,Resolve work problems and recommend work measures to improve productivity
72011,Train or arrange for training of workers
72011,Recommend personnel actions such as hirings and promotions
72011,Ensure standards for safe working conditions are observed
72011,Prepare work progress reports
72011,May manage the operations of their own companies
72011,"May also supervise, coordinate and schedule the activities of related apprentices, helpers and labourers."
72012,"Supervise, coordinate and schedule the activities of workers who install, repair and maintain piping systems used for the transmission of steam, heat, water, oil and other liquids and gases in residential, commercial, industrial and other installations"
72012,Establish methods to meet work schedules and coordinate work activities with other departments
72012,Requisition materials and supplies
72012,Resolve work problems and recommend measures to improve productivity
72012,Train or arrange for training of workers
72012,Recommend personnel actions such as hirings and promotions
72012,Ensure standards for safe working conditions are observed
72012,Prepare schedules and other reports
72012,May manage the operations of their own companies
72012,"May supervise, coordinate and schedule the activities of related apprentices, helpers and labourers."
72013,"Supervise, coordinate and schedule the activities of carpenters who construct, renovate and maintain structures of wood and other building materials and build and install interior finishing in residential, commercial and industrial buildings; and of cabinetmakers who construct and repair custom wooden cabinets, furniture, fixtures and related products"
72013,Establish methods to meet work schedules and coordinate work activities with other departments
72013,Requisition materials and supplies
72013,Resolve work problems and recommend work measures to improve productivity
72013,Train or arrange for training of workers
72013,Recommend personnel actions such as hirings and promotions
72013,Ensure standards for safe working conditions are observed
72013,Prepare schedules and other reports
72013,May manage the operations of their own companies
72013,"May also supervise, coordinate and schedule the activities of related apprentices, helpers and labourers."
72014,"Supervise, coordinate and schedule the activities of construction workers engaged in bricklaying, roofing, cement finishing, tilesetting, plastering, drywall installation, glazing, insulating and painting, and workers who install and service prefabricated products in residential and commercial properties, as well as workers who repair a wide variety of products, such as musical instruments, sports equipment, vending machines, bicycles and cameras"
72014,Establish methods to meet work schedules and coordinate work activities with other subcontractors
72014,Resolve work problems and recommend measures to improve productivity and product quality
72014,Requisition materials and supplies
72014,"Train workers in job duties, safety procedures and company policies"
72014,Recommend personnel actions such as hirings and promotions
72014,Prepare work progress reports
72014,May manage the operations of own company
72014,"May also supervise, coordinate and schedule the activities of related apprentices, helpers and labourers."
72020,"Supervise, coordinate and schedule the activities of workers who repair and maintain aircraft, railway locomotives and cars, industrial machinery and equipment, construction and other heavy equipment, textile equipment, printing machines, heating equipment and furnaces, transformers and other electrical equipment, motor vehicles, air conditioning and refrigeration equipment, electric appliances and other equipment, such as motorcycles, outboard motors and snowmobiles"
72020,Establish methods to meet work schedules and coordinate work activities with other departments
72020,Requisition materials and supplies
72020,Resolve work problems and recommend work measures to improve productivity
72020,Train or arrange for training of workers
72020,Recommend personnel actions such as hiring and promotions
72020,Ensure that standards for safe working conditions are observed
72020,Prepare production and other reports
72020,May manage the operations of their own companies
72020,"May also supervise, coordinate and schedule the activities of related apprentices, helpers and labourers."
72021,"Supervise, coordinate and schedule the activities of workers who operate cranes and construction, paving, drilling, railway maintenance and other similar heavy equipment"
72021,Establish methods to meet work schedules and coordinate work activities with other project supervisors or managers
72021,Requisition materials and supplies
72021,Resolve work problems and recommend measures to improve productivity
72021,Train or arrange for training of workers
72021,Recommend personnel actions such as hirings and promotions
72021,Prepare production and other reports
72021,May manage the operations of own company
72021,"May also supervise, coordinate and schedule the activities of related apprentices, helpers and labourers."
72022,"Supervise, coordinate and schedule activities of workers who produce camera work and printing plates and cylinders; process film; and print, bind and finish books, newspapers, business forms and other printed products"
72022,Establish methods to meet work schedules and coordinate work activities with other departments
72022,Review and approve all job proofs or samples in order to ensure quality of work meets client specifications
72022,Requisition materials and supplies
72022,"Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality"
72022,"Train staff in job duties, safety procedures and company policies"
72022,Recommend personnel actions such as hiring and promotions
72022,Prepare production and other reports
72022,May set up machines or equipment.
72023,"Supervise, coordinate and schedule the activities of workers who operate trains, drive locomotives in railway yards and perform other duties related to railway operations"
72023,Establish methods to meet work schedules and coordinate work activities with other departments
72023,Resolve work problems and recommend measures to improve performance
72023,Requisition materials and supplies
72023,"Train staff in job duties, safety procedures and company policy"
72023,Recommend personnel actions such as hiring and promotions
72023,Prepare work reports.
72024,"Supervise, coordinate and schedule the activities of workers who operate trucks, buses, subway trains, light rail transit, street cars, taxis and other transport vehicles"
72024,Establish methods to meet work schedules and coordinate work activities with other departments
72024,Resolve work problems and recommend measures to improve performance
72024,Requisition materials and supplies
72024,"Train staff in job duties, safety procedures and company policies"
72024,Recommend personnel actions such as hiring and promotions
72024,Dispatch bus drivers and monitor routes to ensure schedules are met and to resolve operating problems
72024,Monitor and operate signal and track switch control panel of subway systems
72024,"Prepare work reports and budgets, and monitor expenditures."
72025,"Co-ordinate, assign and review the work of postal clerks, couriers and letter carriers engaged in the collecting, sorting and delivering of mail, parcels and other material"
72025,Establish work schedules and procedures and co-ordinate activities with other work units or departments
72025,Resolve work-related problems and prepare and submit progress and other reports
72025,"Train workers in job duties, safety procedures and company policies"
72025,Requisition supplies and materials
72025,Ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work
72025,May perform the same duties as workers supervised.
72100.01,"Read and interpret engineering drawings, blueprints, charts and tables or study sample parts to determine machining operation to be performed, and plan best sequence of operations"
72100.01,Compute dimensions and tolerances and measure and lay out work pieces
72100.01,"Set up, operate and maintain a variety of machine tools including computer numerically controlled (CNC) tools to perform precision, non-repetitive machining operations such as sawing, turning, milling, boring, planing, drilling, precision grinding and other operations"
72100.01,Fit and assemble machined metal parts and subassemblies using hand and power tools
72100.01,Verify dimensions of products for accuracy and conformance to specifications using precision measuring instruments
72100.01,May set up and program machine tools for use by machining tool operators.
72100.02,"Verify dimensions of machined parts or tooling using micrometers, verniers, callipers, height gauges, optical comparators, coordinate measuring machines (CMM) or other specialized measuring instruments"
72100.02,"Maintain, repair and calibrate precision measuring instruments such as dial indicators, fixed gauges, height gauges and other measuring devices"
72100.02,Report deviations from specifications and tolerances to supervisor
72100.02,Complete and maintain inspection reports.
72101.01,"Read and interpret engineering drawings and specifications of tools, dies, prototypes or models"
72101.01,"Prepare templates and sketches, and determine work processes"
72101.01,Compute dimensions and tolerances and set up machine tools
72101.01,"Position, secure, measure and work metal stock or castings to lay out for machining"
72101.01,"Set up, operate and maintain a variety of conventional and computer numerically controlled (CNC) machine tools to cut, turn, mill, plane, drill, bore, grind or otherwise shape workpiece to prescribed dimensions and finish"
72101.01,"Verify machined parts for conformance to specifications using precision measuring instruments such as verniers, callipers, micrometers, coordinate measuring machines (CMM) and electronic measuring devices"
72101.01,Fit and assemble or disassemble parts using hand tools
72101.01,"Test completed tools, dies, jigs or fixtures for proper operation"
72101.01,May program CNC machine tools.
72101.02,"Machine, fit and assemble castings and other parts to make precision models of required shape such as metal patterns, core boxes and match plates"
72101.02,"Machine, fit and assemble parts to make metal moulds and cores for plastic injection moulding, or other production processes"
72101.02,"Lay out, shape and assemble patterns of metal, wood, plastic and other materials from blueprints, models or templates"
72101.02,May program CNC machine tools.
72102,"Read engineering and architectural drawings, sketches and work specifications to be performed, and lay out, measure and mark sheet metal according to drawings or templates"
72102,Develop patterns for sheet metal using computer-assisted design and drafting (CAD) software package
72102,"Operate light metalworking machines such as shears, brakes, punches, and drill presses, including computer numerical control (CNC) equipment  to cut, bend, punch, drill, shape or straighten sheet metal"
72102,Operate computerized laser or plasma cutting equipment to cut sheet metal
72102,Install and use rigging and hoisting equipment
72102,"Fit and join sheet metal parts using riveting, welding, soldering and similar equipment to fabricate products such as ventilation shafts, exhaust hoods, eavestroughs, partition frames, air and heat ducts, material handling systems, roof decking and sheet metal buildings"
72102,Install sheet metal products according to specifications and building codes
72102,"Grind and buff seams, joints and rough surfaces"
72102,Inspect product quality and installation to ensure conformance to specifications.
72103,Read blueprints or specifications to plan sequence of operation
72103,"Lay out plate, sheet steel or other heavy metal and mark bending and cutting lines on work piece using protractors, compasses and drawing instruments or templates"
72103,"Set up and operate heavy-metal working machines such as brakes, rolls, shears, flame cutters and drill presses to cut, shape and form metal into parts or sections"
72103,"Fit and weld metal parts or sections together to fabricate boilers, vessels, tanks, heat exchangers, piping and other heavy-metal products"
72103,Erect and install boilers and other heavy-metal products according to specifications using hand and power tools
72103,Repair and perform maintenance work on boilers and other heavy-metal products
72103,"Direct activities of hoist or crane operators and other workers during fabrication, assembly, installation or repair of structures"
72103,Test finished structures using a variety of methods.
72104,"Study engineering drawings and blueprints, determine the materials required, and plan the sequence of tasks to cut metal most efficiently"
72104,Construct patterns and templates as guides for layouts
72104,Lay out reference points and patterns on heavy metal according to component specifications
72104,"Rig, hoist and move materials to storage areas or within worksite"
72104,"Assemble and fit metal sections and plates to form complete units or subunits using tack welding, bolting, riveting or other methods"
72104,"Set up and operate various heavy-duty metal-working machines such as brake presses, shears, cutting torches, grinders and drills, including computer numerical control (CNC) equipment, to bend, cut, form, punch, drill or otherwise form heavy-metal components"
72104,Install fabricated components in final product.
72105,Read blueprints and specifications to lay out work
72105,Unload and position steel units so each piece can be hoisted as needed
72105,"Erect and install scaffolding, hoisting equipment and rigging"
72105,Signal crane operator to position steel units according to blueprints
72105,Align and weld or bolt steel units in place
72105,"Erect structural and architectural precast concrete components for buildings, bridges, towers and other structures"
72105,Assemble and erect prefabricated metal structures
72105,Position and secure steel bars or metal mesh in concrete forms to reinforce concrete structures
72105,"Install ornamental and other structural metalwork such as curtain walls, metal stairways, railings and power doors"
72105,"Examine structures and equipment for deterioration, defects or non-compliance with specifications"
72105,May dismantle structures and equipment.
72106.01,Read and interpret blueprints or welding process specifications
72106.01,"Operate manual or semi-automatic welding equipment to fuse metal segments using processes such as gas tungsten arc welding (GTAW), gas metal arc welding (GMAW), flux-cored arc welding (FCAW), plasma arc welding (PAW), shielded metal arc welding (SMAW), oxy-acetylene welding (OAW), resistance welding and submerged arc welding (SAW)"
72106.01,Operate manual or semi-automatic flame-cutting equipment
72106.01,Operate brazing and soldering equipment
72106.01,"Operate metal shaping machines such as brakes, shears and other metal straightening and bending machines"
72106.01,Repair worn parts of metal products by welding on extra layers.
72106.02,"Operate previously set up welding machines such as spot, butt and seam resistance or gas and arc welding machines to fabricate or repair metal parts"
72106.02,"Operate previously set up brazing or soldering machines to bond metal parts or to fill holes, indentations and seams of metal articles with solder"
72106.02,"Start up, shut down, adjust and monitor robotic welding production line"
72106.02,"Assist with the maintenance and repair of welding, brazing and soldering equipment"
72106.02,May adjust welding heads and tooling according to work specifications.
