OaSIS profile code,Lead statement
51120.06,"Record producers coordinate the production of musical recordings and manage technicians involved in duplicating, dubbing and mastering of recordings."
51120.07,Directors of photography coordinate and direct the photography of motion pictures.
51121.01,"Conductors select and interpret musical works and lead bands, orchestras and choirs during rehearsals and performances."
51121.02,"Composers create musical compositions such as television and film scores, theme music, songs, symphonies and music for interactive products such as video games."
51121.03,Arrangers adapt and modify musical compositions to convey desired themes and to suit particular instrumental and vocal performances.
51122.01,"Musicians play one or more instruments in orchestras, opera companies and popular bands in establishments such as concert halls, lounges and theatres and in film, television and recording studios."
51122.02,"Singers sing musical arrangements in musicals, choirs, opera companies and popular music groups, in establishments such as concert halls, lounges and theaters, in film productions, on television and in recording studios."
51122.03,"Teachers of music or voice teach technique, interpretation and music theory to students through private or group lessons."
52100.01,Library technicians assist users in accessing library resources and describing new acquisitions and conduct reference searches.
52100.02,"Public archive technicians assist users in accessing archive resources and describing new acquisitions, participate in archive processing and storage and conduct reference searches."
52110.00,"Film and video camera operators operate motion picture and video cameras and related equipment to record news, live events, films, videos and television broadcasts."
52111.00,"Graphic arts technicians assist in conceptualizing a project, interpreting design specifications or sketches, preparing the page make-up, lay-out and lettering, and preparing production materials for press, electronic or multimedia publishing."
52112.00,"Broadcast technicians install, set up, test, operate and repair electronic equipment used to record and transmit live and taped radio and television programs and to produce audio and video streaming broadcasts for the Internet."
52113.00,"Audio and video recording technicians operate equipment to record, mix and edit sound, music and videotape, for motion pictures, television and radio programs, videos, recordings and live events."
52114.00,"Announcers and other broadcasters read news, sports, weather, commercial and public service messages and host entertainment and information programs for broadcast on radio or television."
52119.01,"Floor managers oversee the work of camera operators and other technical staff, and cue announcers, actors and performers during news broadcasts and television program tapings."
52119.02,"Key grips supervise grips, gaffers and stagehands who rig, place, move and dismantle lights, sets, backdrops, scenery and other stage equipment."
52119.03,"Gaffers and lighting technicians set up, operate and make repairs to lights and other electrical equipment in studios and on sets and stages."
52119.04,"Stunt co-ordinators and special effects technicians design and coordinate special effects such as fires, explosions and crashes for television and motion picture productions."
52119.05,"Make-up artists apply cosmetic and special effects make-up on actors and other performers for television, motion picture productions, and theatre and stage productions."
52119.06,"Costumiers oversee the acquisition, fitting and maintenance of costumes for television, motion picture productions, and theatre and stage productions."
52119.07,"Settings shop foremen and property masters assist in preparing the construction specifications for sets used in television, motion picture productions, news broadcasts, and theatre and stage productions."
52120.01,"Graphic designers conceptualize and produce graphic art and visual materials to effectively communicate information for publications, advertising, films, packaging, posters, signs and interactive media such as Web sites and CDs. Graphic designers who are also supervisors, project managers or consultants are included in this occupation."
52120.02,Illustrators conceptualize and create illustrations to represent information through images.
52121.00,"Interior designers and interior decorators conceptualize and produce aesthetic, functional and safe designs for interior spaces in residential, commercial, cultural, institutional and industrial buildings."
53100.01,Conservation and restoration technicians assist in the conservation and restoration of artifacts under the direction of a conservator.
53100.02,"Preparators and picture framers work on the construction and installation of exhibits and displays, prepare artifacts for storage and shipping, and assist in framing art objects."
53100.03,"Museum interpreters conduct tours of museums, gallery exhibitions and historical, heritage and other sites, answer inquiries and provide information concerning exhibits or sites."
53100.04,"Curatorial assistants, museum extension officers, museology technicians and museum registrars and cataloguers assist in the research, handling, and storage of artifacts, as well as the planning and development of traveling exhibitions and special events."
53100.05,"Taxidermists prepare, stuff and mount skins of animals for preservation, scientific or display purposes."
53110.00,"Photographers operate still cameras to photograph people, events, scenes, materials, products and other subjects."
53111.01,Camera crane operators assist technical workers and perform other support duties related to broadcasting and the production of motion pictures and the performing arts.
53111.02,Motion picture projectionists show films by operating and maintaining projection equipment.
53111.03,Props persons and set builders assist technical workers and perform other support duties related to broadcasting and the production of motion pictures and the performing arts.
53111.04,Script assistants help technical workers and perform other support duties related to broadcasting and the production of motion pictures and the performing arts.
53111.05,Grips and riggers assist technical workers and perform other support duties related to broadcasting and the production of motion pictures and the performing arts.
53111.06,Dressers assist cast members with wardrobes and perform support duties related to broadcasting and the production of motion pictures and the performing arts.
53111.07,"Production assistants provide support duties related to broadcasting and to the production of motion pictures and the performing arts, such as preparing schedules, setting up equipment, and making travel arrangements to various shooting locations."
53120.01,"Dancers perform as soloists, with partners and with other dancers as members of dance groups and companies."
53120.02,Dance teachers teach dance technique and artistic interpretation.
53121.01,"Actors and comedians perform roles in motion picture, television, theatre and radio productions to entertain a variety of audiences."
53121.02,"Acting teachers instruct acting students in interpretation of scripts, speech, movement, and dramatic theory."
53121.03,Circus performers perform circus skills in circuses to entertain a variety of audiences.
53122.01,"Painters create original paintings, drawings, and other artistic works."
53122.02,"Sculptors create sculptures, statues and other three-dimensional artwork."
53122.03,"Art instructors and teachers teach students the techniques and methods of drawing, painting, sculpting and other forms of artistic expression."
53123.01,"Theatre designers conceptualize and produce set, costume and lighting designs for film, television, theatre and video productions."
53123.02,"Fashion designers conceptualize and produce designs for garments, textiles and accessories."
53123.03,Exhibit designers conceptualize and produce designs for displays and exhibits.
53124.01,Carvers use manual and artistic skills to design and make ornamental objects and carvings.
53124.02,Glass blowers use manual and artistic skills to design and make ornamental and specialty glass objects.
53124.03,"Metal arts workers use manual and artistic skills to design and make ornamental objects, jewellery and other craft objects from metal."
53124.04,Potters use manual and artistic skills to design and make pottery.
53124.05,Stained glass artists use manual and artistic skills to design and make ornamental objects and windows from stained glass.
53124.06,Instrument makers use manual and artistic skills to design and make stringed musical instruments.
53124.07,"Weavers use manual and artistic skills to design and make rugs, blankets, cloth and other handicrafts."
53124.08,"Craft instructors teach manual and artistic skills used to design and make ornamental objects, pottery, stained glass, jewellery, rugs, blankets and other handicrafts."
53124.09,Artistic floral arrangers design floral arrangements.
53125.00,"Patternmakers in this unit group create master patterns for the production of garments, footwear and other textile, leather or fur products."
53200.00,"Athletes participate in competitive sports events on an amateur or professional basis. They play team sports such as hockey, baseball, football and lacrosse; or compete in individual sports such as skiing, figure skating, boxing or track and field; or in games such as poker or chess."
53201.01,Coaches prepare and train individual athletes or teams for competitive events.
53201.02,Sports scouts identify and recruit athletes for professional sports teams.
53202.00,"Sports officials and referees observe and enforce rules and regulations governing sporting events, athletic games and sports competitions."
54100.01,"Program leaders and instructors in recreation, sport and fitness lead and instruct groups and individuals in recreational, sports, fitness or athletic programs."
54100.02,"Fitness appraisers conduct fitness tests and assessments and design, develop and deliver fitness programs."
55109.01,"Buskers entertain passers-by on sidewalks and in parks with magic tricks, juggling acts, short dramatic works, music and other entertaining displays."
55109.02,"Magicians and illusionists perform sleight-of-hand tricks, disappearing acts and other illusions."
55109.03,Fashion models display clothing and merchandise to audiences through a variety of media.
55109.04,Influencers create and share personal and branded content for social media or other digital platforms.
60010.00,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales."
60020.00,"Retail and wholesale trade managers plan, organize, direct, control and evaluate the operations of establishments that sell merchandise or services on a retail or wholesale basis."
60030.00,"Restaurant and food service managers plan, organize, direct, control and evaluate the operations of restaurants, bars, cafeterias and other food and beverage services."
60031.00,"Accommodation service managers plan, organize, direct, control and evaluate the operations of an accommodation establishment or of a department within such an establishment."
60040.00,"Managers in customer and personal services include managers of establishments that provide services such as dry cleaning, hairdressing or residential cleaning. This unit group also includes managers of schools that provide non-vocational instruction in driving, languages, music, dance, art, cooking or fashion."
62010.00,"Retail sales supervisors supervise and coordinate the activities of workers in the following unit groups: Retail salespersons and visual merchandisers (64.100), Cashiers (65.100), Store shelf stockers, clerks and order fillers (65.102) and Other sales related occupations (65.109)."
62020.00,"Food service supervisors supervise, direct and coordinate the activities of workers who prepare, portion and serve food."
62021.00,"Executive housekeepers direct and control the operations of housekeeping departments within hotels, hospitals and other establishments."
62022.00,"Accommodation, travel, tourism and related services supervisors supervise and coordinate the activities of hotel accommodation service clerks, casino workers, reservation clerks and other travel and accommodations workers."
62023.01,Customer service representatives supervisors - financial services supervise and co-ordinate the activities of workers in the following group: Customer service representatives - financial institutions (64.400).
62023.02,Customer service representatives supervisors (except financial services) supervise and co-ordinate the activities of workers in the following group: Other customer and information services representatives (64409).
62024.00,"Cleaning supervisors supervise and coordinate the activities of workers in the following unit groups: Light duty cleaners (65.310), Specialized cleaners (65.311), and Janitors, caretakers and building superintendents (73.201)."
62029.00,"Other services supervisors supervise and coordinate the activities of dry cleaning, laundry, ironing, pressing and finishing workers, theatre ushers and attendants, spa, sports and recreation club workers, commissionaires, security guards and other service workers."
62100.00,"Technical sales specialists, wholesale trade, sell a range of technical goods and services, such as scientific, agricultural and industrial products, electricity, telecommunications services and computer services, to governments and to commercial and industrial establishments in domestic and international localities. Technical sales specialists in wholesale trade who are supervisors are included in this unit group."
62101.00,Retail and wholesale buyers buy merchandise for resale by retail or wholesale establishments and are usually responsible for the merchandising operations of retail or wholesale establishments. Retail and wholesale buyers who are supervisors and those who are assistants are included in this unit group.
62200.01,Head chefs plan and direct food preparation and cooking activities and prepare and cook meals and specialty foods.
62200.02,Sous-chefs plan and direct food preparation and cooking activities. They may prepare and cook meals and specialty foods.
62200.03,Chefs and specialist chefs prepare and cook meals and specialty foods. They also plan and supervise cooking activities.
62201.01,Funeral directors coordinate and arrange all aspects of funeral services.
62201.02,Embalmers prepare the remains of deceased persons for public visitation and burial.
62202.01,"Jewellers and workers in related occupations fabricate, assemble, repair and appraise fine jewellery."
62202.02,"Watch repairers and related workers repair, clean, adjust and fabricate parts for clocks and watches."
63100.00,"Insurance agents and brokers sell life, automobile, property, health and other types of insurance to individuals, businesses and public institutions. Supervisors of insurance agents are included in this unit group."
63101.00,"Real estate agents and salespersons act as agents for the sale or purchase of houses, apartments, commercial buildings, land and other real estate."
63102.00,"Financial sales representatives sell basic deposit, investment and loan products and services to individuals and businesses."
63200.00,Cooks prepare and cook a wide variety of foods. Apprentices are also included in this unit group.
63201.00,"Butchers prepare standard and specialty cuts of meat, poultry, fish and shellfish for sale in retail or wholesale food establishments. Butchers who are supervisors or heads of departments are included in this unit group. Apprentices are also included in this unit group"
63202.00,"Bakers prepare bread, rolls, muffins, pies, pastries, cakes and cookies in retail and wholesale bakeries and dining establishments. Bakers who are supervisors are included in this unit group.  Apprentices are also included in this unit group."
63210.01,Hairstylists cut and style hair and perform related services.
63210.02,Barbers cut and style hair and perform related services.
63211.01,Estheticians provide facial and body treatments designed to enhance their clients' physical appearance.
63211.02,Cosmeticians provide facial and body treatments designed to enhance their clients' physical appearance.
63211.03,Electrologists provide electrolysis treatments to enhance their clients' physical appearance.
63211.04,Manicurists and pedicurists provide treatment to hands and feet to enhance their clients' physical appearance.
63211.05,Scalp treatment specialists provide scalp treatments to enhance their clients' physical appearance.
63211.06,Tattoo artists provide tattoos to enhance their clients' physical appearance.
63211.07,"Hair replacement technicians (non-medical) prepare and apply custom made hair pieces to customers' scalp, weave customers' hair to hair pieces and provide scalp treatments."
63220.01,Shoemakers make specialized and custom shoes and boots
63220.02,Shoe repairers mend footwear.
63221.00,"Upholsterers cover furniture, fixtures and similar items with fabric, leather or other upholstery materials."
64100.01,"Retail salespersons sell, rent or lease a range of technical and non-technical goods and services directly to consumers."
64100.02,"Visual merchandisers plan, create and implement windows and in-store displays."
64101.00,"Sales representatives in wholesale trade (non-technical), sell non-technical goods and services to retail, wholesale, commercial, industrial, professional and other clients domestically and internationally. Auctioneers are included in this unit group. Sales representatives in wholesale trade who are supervisors are also included in this unit group."
64200.01,"Tailors, dressmakers and alterationists make, alter and repair tailored clothing, dresses, coats and other made-to-measure garments."
64200.02,"Furriers make, alter and repair fur coats and other fur garments and accessories."
64200.03,"Milliners design, alter and repair hats."
64201.01,"Image consultants advise clients on their personal appearance, speaking style, manners or other behaviours in order to improve personal or business images."
64201.02,Wedding consultants advise clients on their wedding plans.
64201.03,Weight loss consultants advise clients on their personal appearance and weight-loss goals to improve their personal or business images.
64300.00,"Maîtres d'hôtel and hosts/hostesses greet patrons and escort them to tables, and supervise and coordinate the activities of food and beverage servers."
64301.00,Bartenders mix and serve alcoholic and non-alcoholic beverages. Supervisors of bartenders are included in this unit group.
64310.00,"Travel counsellors advise clients on travel options and tour packages, make bookings and reservations, prepare tickets and receive payment."
64311.01,Flight attendants ensure the safety and comfort of passengers and crew members aboard aircraft.
64311.02,Flight pursers and passenger service directors ensure the safety and comfort of passengers and crew members aboard aircraft.
64311.03,Ship pursers attend to the safety and comfort of passengers aboard ships.
64312.01,"Airline passenger, baggage and ticket agents issue tickets, provide fare quotations, make reservations, conduct passenger check-in, trace missing baggage, arrange for cargo shipments and provide related customer services to assist airline passengers."
64312.02,Airline cargo and freight agents arrange for cargo shipments and provide related customer services.
64312.03,"Airline reservation agents issue tickets, make reservations and provide related customer services."
64313.01,"Ticket agents and related clerks (except airline) quote fares and rates, make reservations, issue tickets, check baggage and provide related customer services to assist travellers."
64313.02,"Cargo service representatives quote fares and rates, process cargo shipments, check baggage and provide related customer services to assist travellers."
64314.00,"Hotel front desk clerks make room reservations, provide information and services to guests and receive payment for services."
64320.01,"Tour guides escort individuals and groups on trips, sightseeing tours of cities and tours of historical sites and establishments such as famous buildings, manufacturing plants, cathedrals and theme parks."
64320.02,"Travel guides escort individuals and groups on trips, sightseeing tours of cities and tours of historical sites and establishments such as famous buildings, manufacturing plants, cathedrals and theme parks."
64321.00,"Casino workers operate gaming tables, assist patrons using slot machines, accept keno wagers, pay out winning bets and jackpots and collect losing bets."
64322.00,"Outdoor sport and recreational guides organize and conduct trips or expeditions for sports enthusiasts, adventurers, tourists and resort guests."
64400.00,Customer service representatives in financial institutions process customers' financial transactions and provide information on related banking products and services.
64401.00,Postal services representatives serve customers and record transactions at sales counters and postal wickets. They maintain inventory and order supplies in post offices and internal mail rooms.
64409.00,"Other customer and information services representatives answer enquiries, provide information regarding an establishment's goods, services and policies and provide customer services such as receiving payments and processing requests for services."
64410.01,"Security guards guard property against theft and vandalism, control access to establishments, maintain order and enforce regulations at public events and within organizations or areas."
64410.02,"Armoured car guards drive and guard armoured trucks, pick-up and deliver cash and valuables to banks, automated teller machines and retail establishments."
64410.03,"Corporate security officers conduct private investigations for clients and employers, implement security measures to protect properties against theft and fire, and provide other protective services."
64410.04,Private investigators conduct private investigations for clients and employers.
64410.05,"Retail loss prevention officers conduct private investigations for clients and employers, implement security measures to protect properties against theft and fire, and provide other protective services."
65100.00,"Cashiers operate cash registers, optical price scanners, computers or other equipment to record and accept payment for the purchase of goods, services and admissions."
65101.00,"Service station attendants employed in automotive service stations sell fuel and other automotive products and perform such services as fuelling, cleaning, lubricating and performing minor repairs to motor vehicles. Those employed in marinas sell fuel, rent boats and related equipment, and maintain marina facilities."
65102.00,"Store shelf stockers, clerks and order fillers pack customers' purchases, price items, stock shelves with merchandise, and fill online, mail and telephone orders."
65109.01,Demonstrators and direct distributors sell products and services by phone or in person at home demonstrations or trade shows.
65109.02,Door-to-door salespersons and street vendors solicit individuals in their homes or on the street and sell goods and services.
65109.03,Telephone solicitors and telemarketers sell goods and services by telephone.
65200.00,Food and beverage servers take patrons' food and beverage orders and serve orders to patrons.
65201.01,"Food counter attendants and food preparers prepare, heat and finish cooking simple food items and serve customers at food counters."
65201.02,Kitchen helpers perform various other activities to assist workers who prepare or serve food and beverages.
65201.03,Food service helpers clear and clean tables and trays in eating establishments.
65201.04,"Dishwashers wash dishes, glassware, flatware, pots and pans using dishwasher or by hand."
65202.00,"Meat cutters and fishmongers prepare and package pieces of meat, poultry and fish that are sold by food retailers or wholesalers. They use tools to cut, trim and package meat, poultry and fish on a daily basis."
65210.01,Guest service attendants and baggage porters escort incoming guests to their rooms and carry travellers' luggage.
65210.02,Ship and train service attendants carry luggage for passengers aboard and maintain public areas and passengers' rooms aboard ships and trains.
65210.03,"Facilities workers set-up, install, reconfigure, relocate and dismantle temporary partitions and furnishings of rooms. They also assemble, rotate and disassemble window displays, showcases and signage according to floor plans or instructions."
65211.01,Amusement attraction operators operate rides and other attractions and perform routine maintenance and safety inspections of attraction equipment.
65211.02,"Attendants in amusement, recreation and sport assist patrons, collect tickets and fees and supervise the use of recreational and sports equipment."
65220.00,"Animal care workers feed, handle, train and groom animals and assist veterinarians, animal health technologists and technicians and animal breeders. Pet groomers clip coats, bathe and otherwise groom pets."
65229.00,"Workers in other support occupations in personal services provide psychic consulting, fortune-telling, astrological services and other personal services."
65310.01,"Light duty cleaners clean lobbies, hallways, offices and rooms of hotels, motels, resorts, hospitals, schools, office buildings and private residences."
65310.02,"Housekeepers perform housekeeping duties in residential, and institutional settings."
65311.01,Carpet and upholstery cleaners clean carpets and upholstery using specialized equipment and techniques.
65311.02,"Chimney cleaners and sandblasters clean chimneys and building exteriors using hand tools and sandblasting, pressurized steam or other equipment."
65311.03,Furnace and ventilation system cleaners clean furnaces and ventilation systems using specialized equipment and techniques.
65311.04,Vehicle cleaners clean interiors and exteriors of vehicles using specialized equipment and techniques.
65311.05,Window cleaners clean windows and other glass surfaces using specialized equipment and techniques.
65312.00,"Janitors, caretakers and heavy-duty cleaners clean and maintain the interior and exterior of commercial, institutional and residential buildings and their surrounding grounds."
65320.01,Dry cleaning and laundry machine operators operate machines to dry-clean and launder garments and other articles.
65320.02,"Dry cleaning and laundry inspectors and assemblers check finished garments and other articles to make sure that they meet required standards for dry cleaning, laundering and pressing, and assemble and bag finished garments."
65320.03,"Ironing, pressing and finishing workers iron, press or otherwise finish garments and household articles."
65329.01,Beauty salon attendants provide services in beauty salons.
65329.02,Door attendants provide services in retail service establishments.
65329.03,Funeral home attendants provide services for funeral homes.
65329.04,Laundromat attendants provide services in laundromats.
65329.05,Parking lot attendants and car jockeys provide services in parking lots.
65329.06,Ticket takers and ushers provide services in retail service establishments.
65329.07,Other elemental workers perform services specific to the establishments in which their occupations are found.
70010.00,"Construction managers plan, organize, direct, control and evaluate the activities of a construction company or a construction department within a company, under the direction of a general manager or other senior manager."
70011.00,"Home building managers own, operate and manage companies engaged in the construction of new residential homes. Home renovation managers own, operate and manage companies engaged in the renovation of existing residential homes."
70012.01,"Facility operation managers plan, organize, direct, control and evaluate the operations of commercial, transportation and recreational facilities and the included real estate."
70012.02,"Maintenance managers plan, organize, direct, control and evaluate the maintenance department within commercial, industrial, institutional, recreational and other facilities."
70020.01,"Managers in transportation operations plan, organize, direct, control and evaluate the operations of transportation companies such as railways, airlines, bus lines, municipal transit systems, shipping lines and trucking companies, under the direction of a general manager or another senior manager."
70020.02,"Managers in transportation freight traffic plan, organize, direct, control and evaluate companies or departments responsible for the transportation and movement of goods, under the direction of a general manager or another senior manager."
70021.00,"Postal and courier services managers plan, organize, direct, control and evaluate the activities and operations in postal facilities and in establishments that provide courier services."
72010.00,"Contractors and supervisors in machining, metal forming, shaping and erecting trades and related occupations supervise and coordinate the activities of workers classified in the following unit groups: Machinists and machining and tooling inspectors (72.100), Tool and die makers (72.101), Sheet metal workers (72.102), Boilermakers (72.103), Structural metal and platework fabricators and fitters (72.104), Ironworkers (72.105), Welders and related machine operators (72.106) and Machining tool operators (94.106)."
72011.00,"Contractors and supervisors in electrical trades and telecommunications occupations supervise and coordinate the activities of workers classified in the following unit groups: Electricians (72.200), Industrial electricians (72.201), Power system electricians (72.202), Electrical power line and cable workers (72.203), Telecommunications line and cable installers and repairers (72.204) and Telecommunications equipment installation and cable television service technicians (72.205)."
72012.00,"Contractors and supervisors in pipefitting trades supervise and coordinate the activities of workers classified in the following unit groups: Plumbers (72.300), Steamfitters, pipefitters and sprinkler system installers (72.301) and Gas fitters (72.302)."
72013.00,Contractors and supervisors in carpentry trades supervise and coordinate the activities of workers classified in the following unit groups: Carpenters (72.310) and Cabinetmakers (72.311).
72014.00,"Contractors and supervisors, other construction trades, installers, repairers and servicers supervise and coordinate the activities of various tradespersons, installers, repairers and servicers classified in the following minor groups: Bricklayers and Insulators (72.32), Concrete finishers, tilesetters and plasterers (73.10), Roofers, Glaziers, Painters, decorators and floor covering installers (73.11) and Building maintenance installers, servicers and repairers (73.20). This unit group also includes prefabricated product installation and service contractors and proprietors of some repair and service establishments."
72020.00,"Contractors and supervisors in mechanic trades supervise and coordinate the activities of workers classified in unit groups within the following minor groups: Machinery and transportation equipment mechanics (except motor vehicle) (72.40), Automotive service technicians (72.41) and Small motor, engine and equipment mechanics and related repairers (including electrical components) (72.42)."
72021.00,"Contractors and supervisors of heavy equipment operator crews supervise and coordinate the activities of workers classified in the following unit groups: Crane operators (72.500), Water well drillers (72.501), Heavy equipment operators (73.400), Drillers and blasters – surface mining, quarrying and construction (73.402), Railway yard and track maintenance workers (74.200), Public works maintenance equipment operators and related workers (74.205), Longshore workers (75.100), Material handlers (75.101), and Public works and maintenance labourers (75.212)."
72022.00,"Supervisors of printing and related occupations supervise and coordinate the activities of workers who produce camera work and printing plates and cylinders, process film, print text and illustrations on paper, metal and other material, and bind and finish printed products."
72023.00,"Supervisors of railway transport operations supervise and coordinate the activities of railway and yard locomotive engineers, railway yard workers and railway labourers."
72024.00,"Supervisors of motor transport and other ground transit operators supervise and coordinate activities of truck drivers, bus drivers, delivery drivers, subway and other transit operators, chauffeurs and taxi and limousine drivers. This unit group also includes bus dispatchers who co-ordinate the activities of transit system bus drivers and subway traffic controllers who operate and monitor signal and track switch control panels."
72025.00,"Supervisors of mail and message distribution occupations supervise and co-ordinate the activities of workers in the following unit groups: Postal services representatives (64.401), Letter carriers (74.101), Mail and parcel sorters and related occupations (74.100) and Couriers and messengers (74.102)."
72100.01,"Machinists set up and operate a variety of machine tools to cut or grind metal, plastic or other materials to make or modify parts or products with precise dimensions. Apprentices are also included in this occupation."
72100.02,Machining and tooling inspectors inspect machined parts and tooling in order to maintain quality control standards. Apprentices are also included in this occupation.
72101.01,"Tool and die makers make, repair and modify custom-made prototype and special tools, dies, jigs, fixtures and gauges using various metals, alloys and plastics which require precise dimensions."
72101.02,"Metal mould makers and patternmakers make, modify and repair custom-made moulds and foundry patterns, using various metals, alloys and plastics used for the mass production of industrial and consumer plastic and metal products."
72102.00,"Sheet metal workers fabricate, assemble, install and repair sheet metal products. Apprentices are also included in this unit group."
72103.00,"Boilermakers fabricate, assemble, erect, test, maintain and repair boilers, vessels, tanks, towers, heat exchangers and other heavy-metal structures. Apprentices are also included in this unit group."
72104.00,"Structural metal and platework fabricators and fitters fabricate, assemble, fit and install steel or other metal components for buildings, bridges, tanks, towers, boilers, pressure vessels and other similar structures and products. Apprentices are also included in this unit group."
72105.00,"Ironworkers fabricate, erect, hoist, install, repair and service structural ironwork, precast concrete, concrete reinforcing materials, curtain walls, ornamental iron and other metals used in the construction of buildings, bridges, highways, dams and other structures and equipment. Apprentices are also included in this unit group."
72106.01,Welders operate welding equipment to weld ferrous and non-ferrous metals.
72106.02,"Welding, brazing and soldering machine operators operate previously set up production welding, brazing and soldering equipment."
72200.00,"Electricians (except industrial and power system) lay out, assemble, install, test, troubleshoot and repair electrical wiring, fixtures, control devices and related equipment in buildings and other structures. Apprentices are also included in this unit group."
72201.00,"Industrial electricians install, maintain, test, troubleshoot and repair industrial electrical equipment and associated electrical and electronic controls. Apprentices are also included in this unit group."
72202.00,"Power system electricians install, maintain, test and repair electrical power generation, transmission and distribution system equipment and apparatus. Apprentices are also included in this unit group."
72203.00,"Electrical power line and cable workers construct, maintain and repair overhead and underground electrical power transmission and distribution systems. Apprentices are also included in this unit group."
72204.00,"Telecommunications line and cable installers and repairers install, repair and maintain telecommunication lines and cables, cable television transmission and distribution systems and associated hardware. Apprentices are also included in this unit group."
72205.01,"Telephone installers and repairers install, test, maintain and repair telephones. Apprentices are also included in this occupation."
72205.02,"Switch network installers and repairers install, test, maintain and repair telephone switching equipment. Apprentices are also included in this occupation."
72205.03,Telecommunications service testers check telephones and telephone switching equipment. Apprentices are also included in this occupation.
72205.04,"Telecommunications equipment technicians install, test, maintain and repair telecommunications equipment related to transmission and processing of voice, video signals and other data over a variety of media including fibre optics, microwave, radio and satellite. Apprentices are also included in this occupation."
72205.05,"Television cable service technicians install, test, maintain and repair cable equipment and related accessories to provide quality service to customers. Apprentices are also included in this occupation."
72300.00,"Plumbers install, repair and maintain pipes, fixtures and other plumbing equipment used for water distribution and waste water disposal in residential, commercial and industrial buildings. Apprentices are also included in this unit group."
72301.01,"Steamfitters and pipefitters lay out, assemble, fabricate, maintain, troubleshoot and repair piping systems carrying water, steam, chemicals and fuel in heating, cooling, lubricating and other process piping systems. Apprentices are also included in this occupation."
72301.02,"Sprinkler system installers fabricate, install, test, maintain and repair water, foam, carbon dioxide and dry chemical sprinkler systems in buildings for fire protection purposes. Apprentices are also included in this occupation."
72302.00,"Gas fitters install, inspect, repair and maintain gas lines and gas equipment such as meters, regulators and heating units in residential, commercial and industrial establishments. Apprentices are also included in this unit group."
72310.00,"Carpenters construct, erect, install, maintain and repair structures and components of structures made of wood, wood substitutes, lightweight steel and other materials. Apprentices are also included in this unit group."
72311.00,"Cabinetmakers use a variety of woods and laminates to construct and repair wooden cabinets, furniture, fixtures and related products. Apprentices are also included in this unit group."
72320.00,"Bricklayers lay bricks, concrete blocks, stone and other similar materials to construct or repair walls, arches, chimneys, fireplaces and other structures in accordance with blueprints and specifications. Apprentices are also included in this unit group."
72321.00,"Insulators apply insulation materials to plumbing, air-handling, heating, cooling and refrigeration systems, piping equipment and pressure vessels, and walls, floors and ceilings of buildings and other structures, to prevent or reduce the passage of heat, cold, sound or fire. Apprentices are also included in this unit group."
72400.01,"Construction millwrights and industrial mechanics install, maintain, troubleshoot, overhaul and repair stationary industrial machinery and mechanical equipment. Apprentices are also included in this occupation."
72400.02,"Textile machinery mechanics and repairers install, maintain, repair, overhaul and set up textile machinery such as looms, knitting machines, spinning frames and carding machines. Apprentices are also included in this occupation."
72401.00,"Heavy-duty equipment mechanics repair, troubleshoot, adjust, overhaul and maintain mobile heavy-duty equipment used in construction, transportation, forestry, mining, oil and gas, material handling, landscaping, land clearing, farming and similar activities. Apprentices are also included in this unit group."
72402.00,"Heating, refrigeration and air conditioning mechanics install, maintain, repair and overhaul residential central air conditioning systems, commercial and industrial refrigeration and air conditioning systems and combined heating, ventilation and cooling systems. Transport refrigeration mechanics are included in this unit group.  Apprentices are also included in this unit group."
72403.00,"Railway carmen/women inspect, troubleshoot, maintain and repair structural and mechanical components of railway freight, passenger and urban transit rail cars. Apprentices are also included in this unit group."
72404.01,"Aircraft mechanics maintain, repair, overhaul, modify and test aircraft structural, mechanical and hydraulic systems.  Apprentices are also included in this occupation."
72404.02,"Aircraft inspectors inspect aircraft and aircraft systems following manufacture, modification, maintenance, repair or overhaul. Apprentices are also included in this occupation."
72405.00,"Machine fitters fit, assemble and otherwise build heavy industrial machinery and transportation equipment, including aircraft engines."
72406.00,"Elevator constructors and mechanics assemble, install, maintain and repair freight and passenger elevators, escalators, moving walkways and other related equipment. Apprentices are also included in this unit group."
72410.01,"Automotive service technicians inspect, diagnose, repair and service mechanical, electrical and electronic systems and components of cars and light trucks. Apprentices are also included in this occupation."
72410.02,Mechanical repairers perform major repairs and replacement of mechanical units on newly assembled motor vehicles. Apprentices are also included in this occupation.
72410.03,"Transport truck and trailer mechanics inspect, diagnose, repair and service mechanical, electrical and electronic systems and components of commercial transport trucks, trailers and buses. Apprentices are also included in this occupation."
72411.00,"Auto body collision, refinishing and glass technicians repair and restore damaged motor vehicle body parts and interior finishing; repaint body surfaces; repair and/or replace automotive glass and repair defective automobile body parts and damage to the bodies of newly assembled cars. Damage repair estimators assess the degree of damage to a vehicle and estimate the cost of parts and labour.  This unit group also includes metal repairers. Apprentices are also included in this unit group"
72420.00,"Oil and solid fuel heating mechanics install and maintain oil, coal and wood heating systems in residential and commercial buildings. Apprentices are also included in this unit group."
72421.01,Small appliance servicers and repairers service and repair small domestic electrical appliances. Apprentices are also included in this occupation.
72421.02,Major appliance repairers and technicians service and repair major domestic electric appliances. Apprentices are also included in this occupation.
