Code de profil professionnel SIPeC,Fonctions principales
63101,"renseigner les clients sur les conditions du marché, les prix, les hypothèques, les exigences d'ordre juridique et les questions connexes;"
63101,préparer des actes de vente et les soumettre à l'approbation des acheteurs et des vendeurs;
63101,"louer, s'il y a lieu, des propriétés, au nom de leurs clients."
63102,"ouvrir des nouveaux comptes personnels et non personnels, et faciliter l'accès aux guichets automatiques et aux services bancaires téléphoniques et en ligne;"
63102,"rencontrer les demandeurs de prêts personnels, de prêts hypothécaires, de prêts étudiants et de prêts à l'entreprise;"
63102,"promouvoir la vente des produits et des services de dépôt, d'investissements, de crédit et de prêts;"
63102,"aider les clients en proposant des solutions pour répondre à des objectifs financiers tels que l'expansion d'entreprise, la gestion des dettes, les investissements et d'autres objectifs financiers;"
63102,"étudier et évaluer les situations financières des demandeurs, leurs références, leur degré de solvabilité et leur capacité de remboursement;"
63102,remplir les documents relatifs au crédit et aux prêts;
63102,"présenter les demandes de crédit ou de prêts au directeur de la succursale ou au directeur du crédit, recommander l'approbation ou le rejet des demandes, ou approuver ou rejeter les demandes de prêts, selon leur degré d'autorité et en veillant au respect des normes de l'établissement en matière de crédit;"
63102,préparer les relevés des comptes en souffrance et acheminer les comptes inconciliables vers les agences de recouvrement;
63102,examiner et mettre à jour les dossiers de crédit et de prêts;
63102,agir en tant que garde conjointe pour l'argent comptant et les valeurs.
63200,préparer et faire cuire des plats ou des repas complets;
63200,"préparer et faire cuire des repas spéciaux pour des patients, conformément aux directives du diététiste ou du chef cuisinier;"
63200,superviser les aides de cuisine et établir leurs horaires de travail;
63200,superviser les opérations de la cuisine;
63200,"tenir l'inventaire de la nourriture, des fournitures et du matériel;"
63200,"voir, s'il y a lieu, à l'organisation et à la supervision des buffets;"
63200,"nettoyer, s'il y a lieu, la cuisine et les aires de travail;"
63200,"dresser, s'il y a lieu, des menus, déterminer les portions, évaluer les besoins en aliments et le coût des aliments et commander le matériel nécessaire;"
63200,"procéder, s'il y a lieu, à l'embauche et à la formation du personnel de cuisine."
63201,"couper, parer, désosser et préparer des coupes personnalisées et/ou régulières de viande, de volaille, de poisson et de crustacés, pour la vente à des comptoirs libre-service ou selon les directives des clients de détails et/ou commerce de gros;"
63201,"préparer des assortiments spéciaux de viande, pour l'étalage et/ou la livraison;"
63201,"façonner et ficeler les rôtis et les autres viandes, ainsi que les volailles ou les poissons et, à l'occasion, envelopper ou emballer les viandes, les volailles, les poissons et les crustacés préparés, frais et/ou congelés;"
63201,"gérer les stocks, tenir le relevé des produits vendus et déterminer la quantité, la gamme et la fraîcheur des produits à présenter selon les exigences du commerce et de la clientèle;"
63201,"respecter les normes d’analyse des risques et maîtrise des points critiques (HACCP), de l’Agence Canadienne d’Inspection des Aliments (ACIA) et les normes de salubrité des aliments;"
63201,s'assurer que les conditions d'entreposage sont adéquates;
63201,"superviser, diriger ou former, s'il y a lieu, d'autres bouchers, coupeurs de viande ou poissonniers."
63202,"préparer la pâte pour les tartes, les pains et les petits pains, les sucreries, les muffins, les biscuits et les gâteaux ainsi que les glaçages, selon les recettes ou les commandes spéciales des clients;"
63202,faire cuire les produits préparés;
63202,glacer et décorer des gâteaux ou d'autres produits de boulangerie;
63202,s'assurer que les produits sont à la hauteur des normes de qualité exigées;
63202,établir un calendrier de production pour déterminer la gamme et la quantité d'articles à produire;
63202,acheter les fournitures de boulangerie et de pâtisserie;
63202,"voir, au besoin, à la vente et à la mise en marché des produits;"
63202,"engager, former et superviser, au besoin, le personnel de cuisine et de boulangerie-pâtisserie."
63210.01,suggérer des styles de coiffure compatibles avec les traits physiques des clients ou déterminer le style d'après les instructions et les préférences des clients;
63210.01,"couper, tailler, effiler, friser, onduler, faire des permanentes et des mises en plis;"
63210.01,"appliquer du décolorant, faire des shampoings colorants, teindre ou donner des rinçages afin de colorer, de givrer ou de faire des mèches aux cheveux;"
63210.01,"analyser le cheveu et le cuir chevelu, conditionner et donner des traitements de base, ou conseiller des traitements pour le cuir chevelu et les cheveux;"
63210.01,nettoyer et coiffer les perruques et les postiches;
63210.01,poser des rallonges;
63210.01,"laver et rincer les cheveux, s'il y a lieu;"
63210.01,"agir à titre de réceptionniste et commander des fournitures, s'il y a lieu;"
63210.01,"former et superviser, s'il y a lieu, les autres coiffeurs, les apprentis coiffeurs et les aides."
63210.02,Les barbiers
63210.02,couper et tailler les cheveux selon les instructions et les préférences des clients;
63210.02,raser et tailler les barbes et les moustaches;
63210.02,"donner, s'il y a lieu, des shampoings et d'autres traitements pour les cheveux, tels que des ondulations, un défrisage et une teinture, et donner, si nécessaire, des massages pour conditionner le cuir chevelu;"
63210.02,"donner des rendez-vous et commander des fournitures, s'il y a lieu;"
63210.02,"former et superviser, s'il y a lieu, les apprentis barbiers et d'autres barbiers."
63211.01,Les esthéticiens
63211.01,prodiguent des soins esthétiques pour le visage et le corps en utilisant des techniques et des produits spécialisés.
63211.02,"conseillent les clients sur l'utilisation du maquillage et d'autres produits de beauté et appliquent du maquillage aux clients; ils se spécialisent, s'il y a lieu, dans le maquillage des mannequins de mode ou d'autres personnes en cas de grandes occasions."
63211.03,Les électrolystes
63211.03,"éliminent définitivement des poils superflus du visage ou du corps en utilisant des filaments d'appareils spécialisés électriques, des appareils au laser ou d'autres méthodes."
63211.04,"nettoient, taillent et vernissent les ongles des mains et des pieds et dispensent des soins connexes."
63211.05,appliquent des lotions médicamenteuses pour traiter les problèmes du cuir chevelu et la perte des cheveux.
63211.06,"nettoient et stérilisent l'équipement de tatouage et les zones de travail; consultent et conseillent les clients en ce qui concerne la taille, la couleur, le dessin et l’emplacement de l'art corporel; utilisent un démographe pour pigmenter de manière permanente la peau du client avec des colorants chimiques; maintiennent des procédures de santé et sécurité; et peuvent appliquer des dessins temporaires à la peau du client."
63211.07,"préparent et posent des perruques faites sur mesure sur le cuir chevelu des clients, tissent les postiches dans la chevelure des clients et appliquent des traitements pour le cuir chevelu."
63220.01,discuter du type de chaussures à fabriquer et obtenir les mesures des clients;
63220.01,"sélectionner des patrons, du cuir ou d'autre matériel, et tracer et couper des patrons;"
63220.01,"sélectionner et monter les formes, installer les semelles aux formes et coudre ou coller les autres pièces;"
63220.01,"tailler, parer et finir des bottes ou des chaussures;"
63220.01,évaluer le coût des chaussures sur mesure et percevoir le paiement des clients;
63220.01,"superviser, s'il y a lieu, d'autres cordonniers ou fabricants de chaussures."
63220.02,"réparer des semelles, des talons et d'autres parties de chaussures en utilisant des machines à coudre, à polir ou d'autres machines, matériel et équipement;"
63220.02,"réparer des ceintures, des bagages, des bourses et d'autres produits semblables;"
63220.02,évaluer le coût de réparation des chaussures et percevoir le paiement.
63221,"discuter avec les clients de la couleur, du genre et du tissu de garnissage à utiliser et évaluer les coûts du garnissage des meubles ou d'autres articles;"
63221,"disposer, mesurer et découper du tissu de garnissage selon des croquis ou d'autres instructions reçues;"
63221,"remplacer les sangles, les ressorts et le rembourrage défectueux des articles à rembourrer à l'aide d'outils manuels et mécaniques;"
63221,coudre à la machine ou à la main des coussins et diverses sections du tissu de garnissage;
63221,"installer de la bourre, d'autres garnitures et du tissu de garnissage sur les cadres des meubles;"
63221,"enfoncer, coller ou coudre des motifs décoratifs, tels que des clous d'ornement, des galons et des boutons, sur les articles rembourrés;"
63221,"fabriquer, couper et installer des garnitures pour meubler et décorer des avions, des automobiles, des wagons de chemin de fer, des navires et des bateaux;"
63221,"réparer, au besoin, les cadres de bois des meubles et refaire la finition des surfaces de bois;"
63221,"tracer, au besoin, des patrons de garnitures selon des croquis, les instructions des clients ou des dessins;"
63221,"installer, fabriquer, entretenir et réparer, s'il y a lieu, les composants intérieurs des aéronefs, par exemple les sièges, les recouvrements, les rideaux, les filets à bagages, les couvre-sols, les placards, les compartiments à bagages et les panneaux."
64100.01,"accueillir les clients et discuter des caractéristiques, de la qualité et de la quantité des marchandises ou des services qu'ils désirent acheter ou louer;"
64100.01,"renseigner les clients sur l'utilisation et l'entretien des marchandises, et les conseiller sur les produits ou services spécialisés;"
64100.01,"estimer ou indiquer des prix, préciser des modalités de crédit et d'échange, des garanties et des dates de livraison;"
64100.01,préparer les marchandises à vendre ou à louer;
64100.01,"préparer des contrats de vente ou de location, et accepter des paiements en espèces, par chèque, par carte de crédit ou par débit automatique;"
64100.01,aider à l'étalage des marchandises;
64100.01,tenir à jour des registres des ventes pour l'inventaire;
64100.01,se servir des systèmes informatisés de tenue d'inventaire et de commande de stocks;
64100.01,"effectuer, au besoin, des transactions par le biais du commerce électronique."
64100.02,"Créer et réalisent des décors, des vitrines et des présentoirs intérieurs;"
64100.02,"Assembler les présentoirs de vente pour promouvoir les produits, les événements promotionnels et les changements saisonniers;"
64100.02,"S'assurer que l'affichage visuel est conforme aux normes et directives de la marque, y compris la culture, l'image et les marchés cibles de l'entreprise;"
64100.02,Créer et aménagent la luminosité des vitrines et étalages de manière à produire une atmosphère visuelle.
64101,faire de la promotion auprès des clients;
64101,déterminer les clients éventuels et les solliciter;
64101,présenter aux clients un exposé ou une description des avantages et des utilisations des biens ou des services;
64101,"évaluer et établir les prix, les conditions de crédit ou de contrat, les garanties et les dates de livraison;"
64101,"rédiger les contrats de vente ou autres, ou en assurer la rédaction;"
64101,"communiquer avec les clients, après la vente ou la signature des contrats, pour résoudre les problèmes et assurer un suivi;"
64101,"lire la documentation au sujet des innovations d'un produit, des concurrents et des conditions du marché, et agir en conséquence;"
64101,représenter des entreprises qui exportent et importent des produits ou des services à destination ou en provenance de pays étrangers;
64101,"effectuer, s'il y a lieu, des transactions de vente à l'aide du commerce électronique;"
64101,"superviser, s'il y a lieu, le travail d'autres représentants de commerce."
64200.01,confectionner des vêtements sur mesure tels que des complets et des manteaux selon les spécifications des clients et des fabricants de vêtements;
64200.01,"dessiner, choisir et/ou modifier des patrons commerciaux en fonction des indications des clients et des manufacturiers;"
64200.01,"marquer, tailler et coudre le tissu;"
64200.01,"ajuster, transformer et réparer des vêtements à la main ou à la machine à coudre, selon les demandes des clients."
64200.02,"confectionner, transformer, rajeunir et réparer des vêtements et des accessoires en fourrure naturelle."
64200.03,"dessiner, étendre, couper, coudre et presser du tissu, du cuir et d'autre matériel pour en faire des chapeaux et des accessoires connexes."
64201.01,"conseillent les clients au sujet de la couleur des cheveux, de la coiffure, du maquillage et des vêtements et accessoires; donnent des conseils, s'il y a lieu, sur la posture ainsi que sur la présentation générale et les manières; et donnent des cours et des ateliers sur le comportement dans le monde des affaires et dans la société;"
64201.01,conseillent les clients au sujet des types et des couleurs de maquillage et de son application;
64201.01,aident les clients à choisir les couleurs de vêtements qui s'harmonisent à leur apparence.
64201.02,"donnent des conseils sur le choix de la robe de mariée, des arrangements floraux, des salles de réception, des invitations et d'autres préparatifs de mariage."
64201.03,administrent des programmes commerciaux de perte de poids; donnent des conseils aux clients concernant l'alimentation et les exercices; et fournissent des services de soutien connexes.
64300,prendre et noter les réservations des clients et leur assigner les tables;
64300,accueillir les clients et les accompagner à leur table ou à un endroit où ils peuvent s'asseoir;
64300,converser avec les clients afin de s'assurer qu'ils sont satisfaits des aliments et du service et résoudre les plaintes;
64300,commander les fournitures de salles à manger et l'équipement;
64300,"inspecter la salle à manger, les aires de service et l'équipement;"
64300,superviser et coordonner les activités des serveurs et des autres employés qui servent des aliments et des boissons;
64300,percevoir des clients les sommes dues pour les aliments et les boissons consommés;
64300,conserver les reçus et les documents financiers;
64300,préparer les horaires de travail et les feuilles de paye;
64300,faire passer des entrevues pour les postes de serveurs d'aliments et de boissons et former les nouveaux employés;
64300,"s'occuper, s'il y a lieu, du marketing et de la publicité de l'établissement."
64301,prendre les commandes de serveurs aux tables ou directement des clients;
64301,"mélanger de l'alcool, des boissons gazeuses, de l'eau et d'autres ingrédients pour préparer des cocktails et d'autres boissons;"
64301,"préparer des boissons mélangées, du vin, de la bière pression ou en bouteille et des boissons non alcoolisées pour les serveurs d'aliments et de boissons, ou les servir directement aux clients;"
64301,percevoir les paiements pour les boissons vendues et enregistrer les ventes;
64301,tenir et contrôler l'inventaire des stocks et commander des boissons alcoolisées et des fournitures;
64301,nettoyer les comptoirs et laver les verres;
64301,veiller au respect des lois et des règlements provinciaux et territoriaux en matière d'alcool;
64301,"former et superviser, s'il y a lieu, d'autres barmans et employés de bar;"
64301,"embaucher et congédier, s'il y a lieu, le personnel."
64310,"répondre aux demandes de renseignements des clients au sujet des destinations, des moyens de transport, de l'hébergement et des coûts des voyages, et leur recommander des produits qui conviennent à leurs besoins;"
64310,planifier et organiser les itinéraires pour des particuliers ou des groupes;
64310,faire des réservations d'hébergement et de transport à l'aide d'un système informatisé de réservation et de billetterie;
64310,vendre des billets et des voyages à forfait aux clients;
64310,"promouvoir des destinations particulières, des voyages à forfait et d'autres services offerts par l'agence;"
64310,"se renseigner sur les nouveautés, notamment les destinations, les hôtels et d'autres installations et points d'intérêt;"
64310,"donner des conseils au sujet des attractions touristiques, des devises étrangères, des coutumes, des langues et de la sécurité en voyage."
64311.01,"accueillir les passagers, expliquer les consignes en cas d'urgence et en faire la démonstration, contrôler l'état général de la cabine de l'aéronef, s'assurer que toutes les fournitures nécessaires se trouvent à bord;"
64311.01,"veiller à la sécurité des passagers au cours du décollage, de l'atterrissage et en cas d'urgence;"
64311.01,servir les repas et les boissons aux passagers et diffuser les messages en cours de vol.
64311.02,"diriger le travail des agents de bord, assurer la prestation des services aux passagers en cours de vols et remplir des rapports."
64311.03,superviser le travail des agents de bord et préparer des divertissements pour les passagers;
64311.03,"s'occuper de fonctions administratives, telles qu'embaucher l'équipage, tenir des registres de feuilles de paye, aider les passagers à préparer leurs déclarations pour les douanes et superviser l'arrimage des bagages."
64312.01,"aider les clients à planifier la durée de leur voyage et leur itinéraire, émettre les billets, assigner les places, préparer les cartes d'embarquement, vérifier les bagages, contrôler les cartes d'embarquement;"
64312.01,"aider les passagers lors de l'embarquement prioritaire et donner les renseignements concernant les tarifs, les horaires et les itinéraires;"
64312.01,"retrouver les bagages perdus, retardés ou mal acheminés pour les clients."
64312.02,"peser la cargaison et évaluer les coûts du fret, calculer les frais de service et d'assurance, traiter les connaissements, les manifestes de cargaison et les autres documents;"
64312.02,"retrouver les bagages perdus ou mal acheminés, et tenir des registres de chargement et d'autres registres;"
64312.02,"remplir les formulaires avant les vols concernant les passagers et la cargaison, les services de restauration, les demandes spéciales et les autres renseignements sur les vols;"
64312.02,transmettre les messages au centre de contrôle des opérations et aux services d'escale;
64312.02,calculer le poids du chargement dans les soutes des aéronefs en utilisant des cartes et des ordinateurs;
64312.02,planifier le chargement afin de distribuer le poids et d'équilibrer la cargaison.
64312.03,"réserver les places à bord pour les compagnies qui offrent des voyages à forfait, les agences de voyages, les grossistes en voyage et le grand public à l'aide de systèmes informatisés;"
64312.03,fournir des renseignements aux passagers des lignes aériennes et assurer le traitement des points accumulés pour les vols effectués.
64313.01,"répondre aux demandes des clients, établir les coûts et aider les clients à planifier leurs horaires et leurs itinéraires de voyage;"
64313.01,"réserver des places pour des compagnies de voyages, des agences de voyages, des grossistes et le grand public;"
64313.01,"émettre des billets, percevoir l'argent comptant et vérifier les bagages;"
64313.01,recevoir et noter les réservations pour les voyages à forfait des agences de voyages et fournir des renseignements aux grossistes en voyages quant aux places disponibles.
64313.02,établir le prix et le taux du fret;
64313.02,"évaluer le coût des envois, y compris les frais de service et d'assurance, à l'aide de tables de taux et d'horaires, et préparer et garder les manifestes et d'autres documents;"
64313.02,"enregistrer les bagages des passagers et les trier pour le chargement par les bagagistes ou charger directement, au besoin, les bagages dans les autobus, les wagons ou les bateaux de croisière;"
64313.02,retrouver la trace du fret ou des bagages perdus ou égarés.
64314,"tenir les registres des chambres disponibles, des réservations et des chambres louées;"
64314,inscrire les clients dans le registre des arrivées et leur attribuer les chambres;
64314,"répondre aux demandes de renseignements au sujet des services qu'offre l'hôtel et de la disponibilité des chambres, en personne, par lettre ou par téléphone, fournir des renseignements sur les services offerts dans la collectivité et répondre aux plaintes des clients;"
64314,"compiler et vérifier les registres quotidiens, les comptes des clients, les états de caisse et les pièces justificatives au moyen de systèmes manuels ou informatisés;"
64314,présenter les notes aux clients qui quittent l'hôtel et percevoir les sommes dues.
64320.01,"transporter ou accompagner des personnes ou des groupes lors de visites touristiques de villes, de voies navigables, d'usines ou d'autres établissements;"
64320.01,"décrire les points d'intérêt, répondre aux questions et donner des renseignements;"
64320.01,fournir des données historiques et culturelles sur les lieux visités;
64320.01,"recueillir, s'il y a lieu, les droits d'entrée et vendre des souvenirs."
64320.02,accompagner des personnes et des groupes dans des voyages d'agrément ou d'affaires;
64320.02,confirmer les réservations pour l'hébergement et les déplacements et assurer le respect des itinéraires;
64320.02,"visiter et décrire les points d'intérêt, planifier et mener des activités récréatives;"
64320.02,"résoudre les problèmes d'itinéraires, d'accueil et d'hébergement."
64321,"opérer des tables de jeu et des jeux tels que la roulette, le blackjack, le keno, le baccara et le poker;"
64321,surveiller et assister les clients utilisant les machines à sous;
64321,expliquer les règles des jeux aux clients et s'assurer qu'elles sont observées;
64321,accepter les mises de keno et émettre des billets informatisés pour le tirage;
64321,déterminer les gagnants et annoncer les numéros gagnants;
64321,"calculer le montant des paris gagnants, remettre le fruit du gain au gagnant, recueillir l'argent des paris perdants et tenir les rapports qui reflètent ces échanges;"
64321,réapprovisionner et réinitialiser les machines à sous;
64321,"effectuer, au besoin, certains ajustements ou réparations mineurs aux machines."
64322,établir l'itinéraire des excursions ou des expéditions et organiser le transport ou transporter les personnes et les groupes jusqu'aux lieux des activités;
64322,"rassembler et inspecter le matériel et les accessoires nécessaires tels que les radeaux, les montgolfières, les vestes de sauvetage, le matériel de campement, l'attirail de pêche et la nourriture;"
64322,"conduire ou accompagner les personnes ou les groupes et donner des conseils sur les mesures de sécurité et les mesures d'urgence, les techniques et l'utilisation du matériel;"
64322,"apprendre aux participants comment s'adonner aux activités comme le canotage, le rafting et l'escalade en montagne;"
64322,fournir de l'information sur des règlements particuliers en matière de chasse et de pêche ou sur l'utilisation des embarcations;
64322,suivre les directives sur l'environnement et prévenir les infractions;
64322,donner les premiers soins dans les cas d'urgence;
64322,"préparer, s'il y a lieu, les repas pour les membres du groupe et organiser le campement."
64400,"encaisser et verser des espèces, encaisser des chèques, effectuer des virements, encaisser des règlements de factures et de cartes de crédit, délivrer des mandats bancaires et des chèques certifiés, et effectuer d'autres transactions bancaires connexes;"
64400,"obtenir et consigner les renseignements nécessaires pour fournir les services aux clients qui veulent, par exemple, ouvrir des comptes, souscrire à des régimes d'épargne et acheter des obligations;"
64400,"vendre des chèques de voyage, des devises étrangères ou des mandats bancaires;"
64400,"répondre aux demandes de renseignements, et résoudre les problèmes ou les écarts relativement aux comptes des clients;"
64400,informer les clients des produits bancaires et des services disponibles pour répondre à leurs besoins.
64401,"calculer les tarifs postaux, affranchir les lettres, les colis et le courrier recommandé et percevoir les paiements des clients;"
64401,"vendre des timbres, des enveloppes préaffranchies et des mandats-poste;"
64401,acheminer le courrier selon les procédures établies;
64401,"signer ou obtenir les signatures des destinataires du courrier acheminé par livraison spéciale ou recommandée, et tenir les registres;"
64401,"répondre aux demandes de renseignements et remplir les formules pour les changements d'adresse, le vol ou la perte de courrier;"
64401,tenir la comptabilité des opérations et faire la caisse quotidiennement.
64409,"répondre, en personne ou au téléphone, aux demandes de renseignement des clients;"
64409,"prendre des dispositions en vue d'un remboursement, d'un échange et de l'établissement d'une note de crédit pour la marchandise retournée;"
64409,recevoir les comptes pour paiements;
64409,recevoir les formulaires de demande de cartes de crédit ou les demandes d'emploi.
64409,prendre les commandes de biens ou de services des clients;
64409,faire la promotion des biens et des services;
64409,répondre aux demandes de renseignements et aux urgences;
64409,examiner les plaintes et mettre les comptes à jour.
64409,"fournir aux clients et au public des renseignements concernant les produits, les services, les horaires, les taux, les règlements et les politiques en réponse aux demandes de renseignements faites par téléphone ou en personne."
64409,expliquer aux clients la nature et le coût des services offerts;
64409,"mettre les comptes à jour, envoyer les factures et traiter les paiements de réclamations d'assurance et recevoir des paiements pour des services."
64410.01,"contrôler l'accès aux établissements, actionner l'équipement dans les postes de garde, faire des rondes dans des zones désignées afin de les protéger contre le vol, le vandalisme et le feu;"
64410.01,faire respecter les règlements d'un établissement pour maintenir l'ordre et résoudre les conflits et veiller aux activités de l'établissement;
64410.01,veiller à ce que les procédures de sécurité et d'urgence en vigueur dans l'établissement soient respectées;
64410.01,délivrer des laissez-passer et diriger les visiteurs vers les endroits appropriés et vérifier l'âge des clients.
64410.02,"conduire et garder des voitures blindées et ramasser et livrer l'argent et les objets de valeur aux banques, aux guichets automatiques et aux établissements de vente au détail."
64410.03,enquêter sur les actes illégaux commis par les employés ou les clients des établissements;
64410.03,"recommander des systèmes de sécurité, tels que des dispositifs d'accès et de détection électroniques."
64410.04,mener des enquêtes afin de trouver des personnes disparues;
64410.04,obtenir des renseignements à utiliser dans les affaires civiles et criminelles ou à d'autres fins;
64410.04,"effectuer, s'il y a lieu, des tests polygraphiques (tests d'intégrité) pour le compte de leurs clients."
64410.05,prévenir et déceler le vol à l'étalage et le vol dans les établissements de vente au détail.
65100,accueillir les clients;
65100,"établir ou trouver le prix des produits, des services ou des billets à l'aide d'une caisse enregistreuse électronique ou autre, d'un lecteur optique ou d'une autre machine, et établir le montant du paiement total requis;"
65100,peser la marchandise et les produits en vrac;
65100,"recevoir et traiter les paiements en espèces, par chèque, par carte de crédit ou par débit automatique;"
65100,emballer les marchandises ou les mettre dans des sacs;
65100,donner des renseignements aux clients;
65100,aider les spectateurs d'événements sportifs et la clientèle de cinéma à la sélection des places;
65100,calculer les taux de change des devises étrangères;
65100,calculer les montants perçus à la fin de leur quart de travail et les concilier avec le chiffre total des ventes;
65100,"vérifier l'âge des clients qui achètent des billets de loterie, de l'alcool ou des produits de tabac;"
65100,"prendre, au besoin, des réservations et des commandes à emporter;"
65100,"garnir, au besoin, les tablettes et nettoyer le comptoir autour de la caisse."
65101,"fournir des services et faire l'entretien mineur des véhicules, par exemple laver le pare-brise, vérifier le niveau d'huile et la pression des pneus, et remplacer des pièces telles que des pneus, des ampoules et des lames d'essuie-glace;"
65101,"effectuer des tâches légères d'entretien de la propriété comme balayer la cour de la station-service, tailler les buissons, lessiver les aires de service et peindre le bord des trottoirs;"
65101,"aller chercher, au besoin, les voitures des clients et les leur ramener, pour l'atelier de réparation d'automobile de la station-service."
65101,faire le plein d'essence des véhicules et/ou remplir le réservoir des bateaux;
65101,pomper les systèmes septiques des bateaux;
65101,"louer des bateaux, des gilets de sauvetage et d'autre équipement, et inscrire dans un registre les données sur la location;"
65101,percevoir le paiement des clients;
65101,"entretenir le quai ainsi que les installations, et prêter son concours à la rentrée et à la sortie saisonnière des rampes et des pontons."
65102,emballer les achats des clients dans le magasins ou pour l'expédition ou la livraison aux clients;
65102,apporter les achats sur le terrain de stationnement et les ranger dans le véhicule des clients;
65102,"déballer les marchandises reçues par le magasin et compter, peser et trier ces produits;"
65102,"utiliser un lecteur de codes à barres pour consigner les marchandises reçues, confirmer les prix et tenir un inventaire informatisé des stocks;"
65102,"apposer des prix au moyen d'un marqueur ou d'étiquettes, selon une liste de prix;"
65102,fixer des dispositifs de protection sur les produits pour contrer le vol à l'étalage;
65102,"garnir les étagères, les îlots et les présentoirs, et tenir la marchandise propre et en ordre;"
65102,"étiqueter et documenter les commandes et préparer les documents d'expédition, de douane et de service de messager au besoin;"
65102,obtenir pour les clients des produits se trouvant sur les tablettes ou dans l'entrepôt à l'arrière du magasin;
65102,diriger les clients vers les endroits où se trouvent les produits recherchés et répondre aux demandes de renseignements;
65102,"saisir, faire le suivi et traiter les commandes des clients et générer des rapports d’inventaire;"
65102,"faire fonctionner, au besoin, des chariots, des plateaux roulants, des chariots élévateur, des chariots  manuels, des chariots élévateurs à poste de conduite élevable et des chariots de manutention motorisés;"
65102,"balayer, au besoin, les allées, épousseter les tablettes et exécuter d'autres tâches de nettoyage général;"
65102,"utiliser, au besoin, la caisse ou un ordinateur pour effectuer des transactions électroniques;"
65102,"commander, s'il y a lieu, de la marchandise."
65109.01,communiquent avec des clients potentiels par téléphone ou par l'entremise de contacts personnels;
65109.01,"organisent des démonstrations de vente et montrent, décrivent et vendent les articles ou les services dans les entreprises de commerce de gros et de détail, les entreprises industrielles, à l'occasion de foires, de salons professionnels ou à des particuliers ou pendant des réunions de vente dans les maisons privées;"
65109.01,livrent la marchandise.
65109.02,sollicitent les particuliers à domicile et leur vendent des produits;
65109.02,"préparent et exposent des marchandises à vendre à l'extérieur, dans la rue ou à l'occasion d'événements publics."
65109.03,font des appels téléphoniques aux maisons privées ou entreprises en vue de la vente de biens ou de services.
65200,"accueillir les clients, présenter le menu, faire des suggestions et répondre aux questions au sujet des aliments et des boissons;"
65200,prendre les commandes et les transmettre au personnel des cuisines et du bar;
65200,recommander des vins assortis aux aliments commandés;
65200,servir les aliments et les boissons commandés;
65200,préparer et servir les spécialités de la maison aux tables des clients;
65200,présenter l'addition aux clients et percevoir les sommes dues;
65200,"tenir, s'il y a lieu, l'inventaire des vins et des verres à vin et en commander au besoin;"
65200,"effectuer, s'il y a lieu, une évaluation sensorielle des vins."
65201.01,prendre les commandes des clients;
65201.01,"laver, éplucher, trancher et parer les denrées alimentaires en se servant d'appareils manuels et électriques;"
65201.01,"utiliser la friteuse, le gril, le four, les distributeurs et d'autres équipements pour préparer des plats rapides, comme des sandwichs, des hambourgeois, des frites, des salades, de la crème glacée, des laits frappés et d'autres boissons;"
65201.01,"diviser les aliments en portions, les assembler, et les emballer ou les poser directement sur des assiettes pour les servir aux clients, et emballer les aliments à emporter;"
65201.01,utiliser de l'équipement pour préparer des boissons chaudes spécialisées telles que le café ou le thé;
65201.01,"servir les aliments aux clients, au comptoir ou à la table de buffet;"
65201.01,"remplir les réfrigérateurs et les bars à salades, et tenir des registres des quantités d'aliments consommés;"
65201.01,"recevoir, au besoin, les paiements pour les aliments achetés."
65201.02,laver et éplucher les fruits et les légumes;
65201.02,"nettoyer les tables de travail, les armoires et les appareils;"
65201.02,sortir les déchets et nettoyer les poubelles de la cuisine;
65201.02,"déballer et ranger les provisions dans les réfrigérateurs, les armoires et autres endroits réservés au rangement;"
65201.02,"balayer et essuyer les planchers, et exécuter d'autres tâches pour aider le cuisinier et le personnel de cuisine."
65201.03,débarrasser et nettoyer les tables et les plateaux dans les salles à manger;
65201.03,"transporter la vaisselle propre, les ustensiles et autres objets aux aires de service et dresser les tables;"
65201.03,remplir les contenants de condiments et autres sur les tables et dans les aires de service;
65201.03,enlever les couverts avant et après les services;
65201.03,"effectuer d'autres tâches, par exemple racler et empiler les assiettes, transporter le linge de table à la blanchisserie ou de la blanchisserie et faire des courses."
65201.04,"laver la vaisselle, les verres, les ustensiles, les marmites et les casseroles à la main ou à la machine;"
65201.04,ranger la vaisselle à l'endroit prévu;
65201.04,"récurer les marmites et les casseroles et, au besoin, nettoyer et polir l'argenterie."
65202,hacher les viandes crues et trancher les viandes cuites à l'aide de hachoirs électriques et de machines à découper;
65202,"couper, peser, emballer, étiqueter et fixer le prix des viandes, produits carnés, poissons et fruits de mer destinés à la vente;"
65202,suggérer aux consommateurs des produits complémentaires et / ou de remplacement;
65202,"vérifier de la qualité des viandes, poissons et fruits de mer, les dates de péremption et assurer la rotation des produits;"
65202,"s’assurer de l’entretien du matériel, des étalages et de l’aire de travail;"
65202,recevoir et stocker les marchandises selon les normes établies de la compagnie;
65202,respecter les normes d'hygiène et de salubrité gouvernementales ainsi que les normes de santé et sécurité au travail.
65210.01,conduire les clients de l'hôtel à leur chambre et porter leurs bagages;
65210.01,inspecter les chambres pour vérifier qu'elles sont en ordres;
65210.01,"donner des renseignements sur les commodités de la chambre, les services de l'hôtel et les lieux d'intérêt touristique;"
65210.01,aider les clients ayant des besoins spéciaux;
65210.01,s'occuper de l'arrivée et du départ des groupes;
